Date,Open,High,Low,Close,Lockdown
04-Jun-20,34072.5,34310.14,33711.24,33980.7,Partial
05-Jun-20,34198.55,34405.43,33958.02,34287.24,Partial
08-Jun-20,34841.17,34927.8,34211.83,34370.58,Partial
09-Jun-20,34520.79,34811.29,33881.19,33956.69,Partial
10-Jun-20,34029.14,34350.17,33949.46,34247.05,Partial
11-Jun-20,34214.69,34219.39,33480.42,33538.37,Partial
12-Jun-20,32436.69,33856.27,32348.1,33780.89,Partial
15-Jun-20,33670.55,33670.55,32923.74,33228.8,Partial
16-Jun-20,33853.72,34022.01,32953.3,33605.22,Partial
17-Jun-20,33438.31,33933.66,33332.96,33507.92,Partial
18-Jun-20,33371.52,34276.01,33371.52,34208.05,Partial
19-Jun-20,34335.38,34848.37,34136.39,34731.73,Partial
22-Jun-20,34892.03,35213.52,34794.4,34911.32,Partial
23-Jun-20,35015.73,35482.16,34843.69,35430.43,Partial
24-Jun-20,35679.74,35706.55,34794.93,34868.98,Partial
25-Jun-20,34525.39,35081.61,34499.78,34842.1,Partial
26-Jun-20,35144.78,35254.88,34910.34,35171.27,Partial
29-Jun-20,34926.95,35032.36,34662.06,34961.52,Partial
30-Jun-20,35168.3,35233.91,34812.8,34915.8,Partial
01-Jul-20,35009.59,35467.23,34927.2,35414.45,Partial
02-Jul-20,35604,36014.92,35595.36,35843.7,Partial
03-Jul-20,36025.38,36110.21,35872.38,36021.42,Partial
06-Jul-20,36313.46,36661.66,36254.02,36487.28,Partial
07-Jul-20,36660.35,36723.27,36271.09,36674.52,Partial
08-Jul-20,36738.38,36828.43,36234.17,36329.01,Partial
09-Jul-20,36450.69,36806.3,36422.3,36737.69,Partial
10-Jul-20,36555.13,36748.89,36401.11,36594.33,Partial
13-Jul-20,36880.66,37024.2,36533.96,36693.69,Partial
14-Jul-20,36517.28,36538.1,35877.42,36033.06,No
15-Jul-20,36314.76,36810.25,35894.96,36051.81,No
16-Jul-20,36401.2,36524.62,36038.41,36471.68,No
17-Jul-20,36547.75,37125.98,36512.92,37020.14,No
20-Jul-20,37409.03,37478.87,37185.78,37418.99,No
21-Jul-20,37823.61,37990.55,37742.05,37930.33,No
22-Jul-20,38178.07,38199.27,37601.62,37871.52,No
23-Jul-20,37814.92,38225.03,37738.59,38140.47,No
24-Jul-20,37949.59,38235.73,37748.41,38128.9,No
27-Jul-20,38275.34,38275.34,37769.44,37934.73,No
28-Jul-20,38052.18,38554.72,37998.13,38492.95,No
29-Jul-20,38427.15,38617.03,37884.41,38071.13,No
30-Jul-20,38262.83,38413.81,37678.42,37736.07,No
31-Jul-20,37847.88,37897.78,37431.68,37606.89,No
03-Aug-20,37595.73,37596.02,36911.23,36939.6,No
04-Aug-20,37092.86,37745.6,36987.73,37687.91,No
05-Aug-20,37892.36,38139.96,37550.6,37663.33,No
06-Aug-20,37946.8,38221.4,37755.1,38025.45,No
07-Aug-20,37951.07,38109.68,37787.38,38040.57,No
10-Aug-20,38168.42,38430.69,38073.29,38182.08,No
11-Aug-20,38371.34,38556.27,38313.06,38407.01,No
12-Aug-20,38321.13,38414.37,38125.81,38369.63,No
13-Aug-20,38456.64,38516.85,38215.05,38310.49,No
14-Aug-20,38432.94,38540.57,37654.92,37877.34,No
17-Aug-20,38062.07,38119.38,37734.14,38050.78,No
18-Aug-20,38084.7,38571.23,38062.01,38528.32,No
19-Aug-20,38727.89,38788.51,38550.65,38614.79,No
20-Aug-20,38283.9,38402.45,38155.78,38220.39,No
21-Aug-20,38471.93,38579.83,38411.37,38434.72,No
24-Aug-20,38566.96,38894.94,38545.76,38799.08,No
25-Aug-20,38948.46,39008.89,38679.67,38843.88,No
26-Aug-20,38930.18,39111.55,38765.09,39073.92,No
27-Aug-20,39293.53,39326.98,39046.94,39113.47,No
28-Aug-20,39264.48,39579.58,39235.03,39467.31,No
31-Aug-20,39888.15,40010.17,38395.89,38628.29,No
01-Sep-20,38754,39226.82,38542.11,38900.8,No
02-Sep-20,38892.64,39141.84,38736.22,39086.03,No
03-Sep-20,39165.8,39236.36,38943.43,38990.94,No
04-Sep-20,38325,38729.66,38249.77,38357.18,No
07-Sep-20,38284.78,38519.92,38060.74,38417.23,No
08-Sep-20,38498.07,38746.48,38275.45,38365.35,No
09-Sep-20,37988.56,38252.67,37935.26,38193.92,No
10-Sep-20,38516.88,38878.25,38367.07,38840.32,No
11-Sep-20,38865.17,38978.52,38711.8,38854.55,No
14-Sep-20,39073.51,39230.16,38573.17,38756.63,No
15-Sep-20,38904.67,39102.25,38753.68,39044.35,No
16-Sep-20,39161.01,39359.51,39037.96,39302.85,No
17-Sep-20,39120.64,39234.81,38926.34,38979.85,No
18-Sep-20,39200.42,39200.42,38635.73,38845.82,No
21-Sep-20,38812.69,38990.76,37938.53,38034.14,No
22-Sep-20,38200.71,38209.97,37531.14,37734.08,No
23-Sep-20,38124.94,38140.07,37313.09,37668.42,No
24-Sep-20,37282.18,37304.26,36495.98,36553.6,No
25-Sep-20,36991.89,37471.17,36730.52,37388.66,No
28-Sep-20,37756.25,38035.87,37544.05,37981.63,No
29-Sep-20,38176.86,38235.94,37831.35,37973.22,No
30-Sep-20,38068.89,38236.34,37828.11,38067.93,No
