Date,Open,High,Low,Close,Adj Close,Volume,Change,Lockdown
26-08-2020,102119,102521,99359,100627,100627,9861200,1491,No
27-08-2020,100625,101548,99857,100624,100624,7360600,3,No
28-08-2020,100631,102347,100631,102143,102143,7665700,-1519,No
31-08-2020,102142,102142,99369,99369,99369,12226100,2774,No
01-09-2020,99382,102238,99382,102168,102168,9384700,-2799,No
02-09-2020,102168,102824,100872,101911,101911,7557900,257,No
03-09-2020,101911,103226,99751,100721,100721,12611000,1190,No
04-09-2020,100733,101582,98961,101242,101242,11327400,-521,No
08-09-2020,101239,101239,99373,100050,100050,8479000,1192,No
09-09-2020,100050,101578,100050,101292,101292,7955600,-1242,No
10-09-2020,101291,101536,98687,98835,98835,8894600,2457,No
11-09-2020,98839,99435,97758,98363,98363,9107900,472,No
14-09-2020,98367,100520,98367,100275,100275,8182100,-1912,No
15-09-2020,100277,100949,99647,100298,100298,9216700,-23,No
16-09-2020,100299,100663,99663,99676,99676,7139400,622,No
17-09-2020,99674,100251,98562,100098,100098,0,-422,No
18-09-2020,100098,100102,98045,98290,98290,11370300,1808,No
21-09-2020,98283,98283,95820,96991,96991,9738000,1299,No
22-09-2020,96995,97684,96390,97294,97294,7281300,-303,No
23-09-2020,97294,97389,95728,95735,95735,8830700,1559,No
24-09-2020,95735,97955,95653,97012,97012,9331000,-1277,No
25-09-2020,97011,97012,95632,96999,96999,7351100,13,No
28-09-2020,97005,98314,94371,94666,94666,10508900,2333,No
29-09-2020,94665,95505,93408,93580,93580,8737200,1086,No
