country_region,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
Serbia,-23.736702127659573,-11.03191489361702,5.433510638297872,-29.579787234042552,-31.242021276595743,6.585106382978723
Singapore,-33.69527896995708,-8.128755364806867,-31.339055793991417,-39.86695278969957,-31.218884120171673,22.969957081545065
Slovakia,-19.97167112669558,-7.943469962737435,31.990291262135923,-24.07008003283398,-22.85746764603008,5.464749792645839
Slovenia,-23.440860215053764,-17.303776435045318,2.214050493962678,-30.7279308264629,-28.38353533043677,4.334090909090909
South Africa,-30.276310090948463,-14.490760636012032,-18.829844097995547,-39.87674418604651,-24.756338633433604,14.659656652360516
South Korea,-13.44206008583691,5.639484978540772,34.22961373390558,-11.512875536480687,-8.562231759656653,4.993562231759657
Spain,-35.80841889117043,-15.462834558313688,7.77501566743263,-35.74962550823882,-30.001025711159738,9.761789349768021
Sri Lanka,-31.665236051502145,-20.570815450643778,-16.901287553648068,-26.433476394849784,-25.82832618025751,15.570815450643776
Sweden,-2.374658240329882,-0.17997189355818488,61.56230497191596,-19.716489693941288,-25.47166354184421,5.60350572214979
Switzerland,-25.310601363918163,-2.537980339588919,36.57230142566191,-18.239092797783933,-23.077748917748917,7.152640462985291
Taiwan,-7.579399141630901,4.07725321888412,-1.5236051502145922,-14.96137339055794,-0.7854077253218884,2.0858369098712446
Tajikistan,-13.431330472103005,-9.648068669527897,-11.712418300653594,-29.506437768240342,-11.982832618025752,2.592274678111588
Tanzania,-11.121212121212121,-1.9261672095548317,-8.178749308245711,-7.472196416721964,-9.13331837055325,4.853236413984077
Thailand,-18.218884120171673,-1.9742489270386265,-23.248927038626608,-32.94420600858369,-15.875536480686696,7.927038626609442
The Bahamas,-41.33540372670807,-19.456628477905074,-20.344086021505376,-61.294536817102134,-38.0217654171705,17.34075723830735
Togo,-17.83668903803132,-6.3626609442060085,8.309352517985612,-23.723557692307693,-7.209090909090909,12.313304721030043
Trinidad and Tobago,-27.78969957081545,-5.8068669527897,-21.660944206008583,-44.78540772532189,-29.523605150214593,13.48068669527897
Turkey,-25.46562828238156,-0.1106171927556687,9.16841519033069,-25.00084078451663,-19.271265560165975,5.8969825867340155
Uganda,-29.963995354239255,-24.787136294027565,-11.975377728035815,-35.820812182741115,-10.129810453762206,13.49927113702624
Ukraine,-16.969957081545065,-1.871244635193133,30.242489270386265,-18.454935622317596,-24.09442060085837,3.4420600858369097
United Arab Emirates,-26.877067254685777,-10.247240618101545,-40.92159383033419,-43.365650969529085,-21.543572984749456,13.873006833712983
United Kingdom,-38.75754348597799,-12.987164129897247,30.582387041533906,-34.86264266462583,-38.23355491511875,13.143176494369731
United States,-9.293649441003268,2.342332601384218,37.614943740679934,-11.213980217362527,-23.451671840006288,7.803619779065817
Uruguay,-28.425884123401055,-11.800701930308348,-44.78823004904146,-37.81382067390063,-6.770002228660575,8.516801075268818
Venezuela,-39.05579399141631,-21.669527896995707,-34.776824034334766,-41.94420600858369,-26.111587982832617,14.648068669527897
Vietnam,-20.03990147783251,-5.720269370236069,-20.038955509827574,-17.792530139468916,1.855340335561315,4.9521590130226185
Yemen,1.6724137931034482,9.184549356223176,-0.5625,-2.2596153846153846,-5.772532188841201,4.124463519313305
Zambia,-4.257510729613734,1.1888412017167382,3.855769230769231,-9.778969957081545,-6.663090128755365,9.98068669527897
Zimbabwe,-25.475806451612904,-11.44175209692451,-23.79115710253998,-39.33566433566433,-15.860594795539033,19.97854954034729
